status,title,company,location,date,blurb,tags,link,id,provider,query
new,Developer Others,ITC Infotech India Ltd,Pune,2020-02-11,"Roles & Requirements:

Candidates must be flexible with different shifts.
Good analytical and technical troubleshooting skills (3 to 4 years).
Candidates with Salesforce Administration experience (2 to 3 years).
Candidates with Production Support experience.
Strong knowledge of business processes and best practices.
A strong team player with good communication skills.
Managing End Market calls and customer interactions.
Must manage escalations.
Must be Salesforce Administration certified.
Must have Salesforce Community experience.",Salesforce,https://www.glassdoor.com/partner/jobListing.htm?pos=101&ao=140609&s=58&guid=000001703946bdc7823dc6de8481065c&src=GD_JOB_AD&t=SR&extid=1&exst=EL&ist=&ast=EL&vt=w&slr=true&cs=1_7c14d6d3&cb=1581508902636&jobListingId=3420125497,3420125497,glassdoor,ITC Infotech India Ltd developer
new,Azure HD Insight Developer,ITC Infotech India Ltd,Bengaluru,2020-02-11,"Roles and Responsibilities



The successful candidate should have 4 + years experience in large-scale software development, with at least 1-3 years in HD Insight & Azure Data Factory


Demonstrate analytical and problem-solving skills, particularly those that apply to a ""Big Data"" environment on Azure



Deep understanding and related experience with Hadoop stack - internals, HBase, Hive, Pig and Map/Reduce
Good Understanding on Bigdata Concepts
Exposure to ELK & No SQL DB like Mango DB & Cassandra will be added advantage
Must have Exposure to BIDW concepts like ETL & Star schema","SQL , Azure , Hadoop , Hive , Cassandra , stack , Bigdata , HBase , schema",https://www.glassdoor.com/partner/jobListing.htm?pos=103&ao=437149&s=58&guid=000001703946bdc7823dc6de8481065c&src=GD_JOB_AD&t=SR&extid=1&exst=EL&ist=&ast=EL&vt=w&slr=true&cs=1_1a204a4e&cb=1581508902639&jobListingId=3420510621,3420510621,glassdoor,ITC Infotech India Ltd developer
new,Dot Net Developer,ITC Infotech India Ltd,Bengaluru,2020-02-11,"Candidate should be willing to be cross trained into Apriso technology.

Requirements:

3-6 years of overall experience.
Good knowledge of OOPs, HTML, Javascript, SQL Server.
Awareness of other MES products would be an added advantage.
Good communication and presentation skills.
Good customer interfacing skills.
Should be able to work on new MES opportunities and close them successfully.
Should be willing to travel within and outside India.","Javascript , HTML , SQL",https://www.glassdoor.com/partner/jobListing.htm?pos=102&ao=140609&s=58&guid=000001703946bdc7823dc6de8481065c&src=GD_JOB_AD&t=SR&extid=1&exst=EL&ist=&ast=EL&vt=w&slr=true&cs=1_bcc03100&cb=1581508902638&jobListingId=3420125547,3420125547,glassdoor,ITC Infotech India Ltd developer
new,Microsoft Developer,ITC Infotech India Ltd,Bengaluru,2020-02-08,"Full Stack (.Net / Angular) developer:

Mandatory Skills:

Minimum 5+ years of hands on experience in .Net Core and Angular6+ development with knowledge of Micro-services, micro-frontends and API

Front-End and Server Side Expertise : Hands-on experience in Angular 6+, .NET (Web based architecture), Micro services/REST-Based Architecture/ Micro frontends

ASP.NET/C# including (Web Services, WEBAPI, REST,MVC, Entity Framework).

.NET Core (Micro Service Architecture)

Database (SQLserver/Oracle/MySQL/MongoDB/Cassandra)

SOA and Design patterns.

Knowledge on IT systems Security

Experience with Asynchronous Communication techniques, RabbitMQ knowledge is an advantage

CI/CD - Pipeline setup and Proficient understanding of code versioning tools, such as Git / Stash / TFS

Cloud Knowledge (IaaS, PaaS)

Good knowledge on - Javascript (ReactJS) Typescript(Angular), HTML5, CSS3

Good knowledge on Integration methodologies and frameworks, Integration with Mainframe is an advantage

Understanding fundamental design principles behind a scalable application

Implementing automated testing platforms and unit tests

Experience of Software development Methodology like Agile, Extreme Programming, Prototyping","Javascript , Angular , Git , Asynchronous , testing , Service , Server , frameworks , RabbitMQ , Stack , Entity",https://www.glassdoor.com/partner/jobListing.htm?pos=104&ao=437149&s=58&guid=000001703946bf109e4875f39eb74c81&src=GD_JOB_AD&t=SR&extid=1&exst=EL&ist=&ast=EL&vt=w&slr=true&cs=1_57921eac&cb=1581508902918&jobListingId=3485660009,3485660009,glassdoor,ITC Infotech India Ltd developer
new,Java Developer,ITC Infotech India Ltd,Bengaluru,2020-02-08,"Knowledge of

Multi-site applications

Backup & Recovery

Load-balancing

Network Infrastructures

Monitoring tools (Grafana, Nagios, Prometheus, Thanos)

SQL

Jenkins

GIT

Expert knowledge of

KVM

Docker & Kubernetes

Scripting / programming languages including but not limited to: Python, Ansible, Bash, Java, Go

Public Cloud Infrastructure (GCP, AWS, Azure)

ELK Stack

RESTful APIs to connect to back-end services","Java , Python , Bash , Ansible , Cloud",https://www.glassdoor.com/partner/jobListing.htm?pos=105&ao=437149&s=58&guid=000001703946bf109e4875f39eb74c81&src=GD_JOB_AD&t=SR&extid=1&exst=EL&ist=&ast=EL&vt=w&slr=true&cs=1_cd5817bb&cb=1581508902919&jobListingId=3485660015,3485660015,glassdoor,ITC Infotech India Ltd developer
new,Testing Developer,ITC Infotech India Ltd,Bengaluru,2020-02-08,"Work with the Development and QA teams to gather testing requirements for a SaaS web application.

Establish a high-level performance testing strategy and design test plans which illustrate the performance testing approach.

Develop, maintain, and execute performance test scripts.

Implement and execute automated load testing scripts for web-based applications and APIs.

Identify and document the root cause of performance.

Identifying bottle-necks and tuning points.

Provide insight into performance bottlenecks leveraging a variety of skills and tool sets on multiple platforms.

Define problems, collect data, establish facts, and draw valid conclusions.

Evaluate overall system capacity during end-to-end load tests.

Maintain performance testing applications, environment, and datasets","performance , testing , web , load",https://www.glassdoor.com/partner/jobListing.htm?pos=108&ao=437149&s=58&guid=000001703946bdc7823dc6de8481065c&src=GD_JOB_AD&t=SR&extid=1&exst=EL&ist=&ast=EL&vt=w&slr=true&cs=1_dc98dc78&cb=1581508902658&jobListingId=3485659987,3485659987,glassdoor,ITC Infotech India Ltd developer
new,Oracle Developer,ITC Infotech India Ltd,Bengaluru,2020-02-08,"1)3-8 years of experience in Implementation, support of Ebusiness Suite version 12.x

2)Has real-time hands-on Techno/functional experience on PLSQL Conversions and Interfaces, Forms, Reports, XLM Publisher, knowledge of OAFramework and Workflow would be added advantage.

3)Experience on either P2P or OTC Techno/functional track

4)Ability to relate the product functionality to business processes, and thus offer implementation advices to customers on how to meet their various business scenarios using Ebiz application","Forms , PLSQL , version",https://www.glassdoor.com/partner/jobListing.htm?pos=107&ao=437149&s=58&guid=000001703946bf109e4875f39eb74c81&src=GD_JOB_AD&t=SR&extid=1&exst=EL&ist=&ast=EL&vt=w&slr=true&cs=1_7eb80fd4&cb=1581508902922&jobListingId=3485659976,3485659976,glassdoor,ITC Infotech India Ltd developer
new,Siebel Developer,ITC Infotech India Ltd,Bengaluru,2020-02-08,"Should have minimum of 5 years of experience in Siebel Configuration/Scripting/Workflows
Working experience in Siebel Upgrade to IP2017/2018/2019 Versions
Hands on experience in Product Configurator and Order Management Module
Hands on experience in Application Integration (EAI)
Good Performance troubleshooting capabilities
Good communication skills",Performance,https://www.glassdoor.com/partner/jobListing.htm?pos=108&ao=437149&s=58&guid=000001703946bf109e4875f39eb74c81&src=GD_JOB_AD&t=SR&extid=1&exst=EL&ist=&ast=EL&vt=w&slr=true&cs=1_ab95c964&cb=1581508902923&jobListingId=3485659931,3485659931,glassdoor,ITC Infotech India Ltd developer
new,Datawarehouse Developer,ITC Infotech India Ltd,Bengaluru,2020-02-08,Strong design and hands on development experience on enterprise software applications for both on prem and cloud using primarily Microsoft technologies.,cloud,https://www.glassdoor.com/partner/jobListing.htm?pos=109&ao=437149&s=58&guid=000001703946bdc7823dc6de8481065c&src=GD_JOB_AD&t=SR&extid=1&exst=EL&ist=&ast=EL&vt=w&slr=true&cs=1_13fc6cb6&cb=1581508902659&jobListingId=3460891763,3460891763,glassdoor,ITC Infotech India Ltd developer
new,JAVA Sr. Developer,ITC Infotech India Ltd,Bengaluru,2020-02-08,"Must have strong knowledge in Java Fundamentals, OOPS concepts, collection, data structure, Design Patterns.

Must have hands on experience in Spring AOP, Spring MVC, Spring Security and Spring DI/ Spring IoC framework.

Must have experience in designing micro services.

Must have experience in Hibernate.

Must have experience in developing REST services.

Good to have experience in Spring Boot","Java , Spring , REST , Security , structure",https://www.glassdoor.com/partner/jobListing.htm?pos=114&ao=437149&s=58&guid=000001703946bdc7823dc6de8481065c&src=GD_JOB_AD&t=SR&extid=1&exst=EL&ist=&ast=EL&vt=w&slr=true&cs=1_74662f78&cb=1581508902667&jobListingId=3485659984,3485659984,glassdoor,ITC Infotech India Ltd developer
